ColumnVariableCode,ColumnVariableMeasurementUnitValue,ColumnVariableStatisticalUnitValue,ColumnVariableCodeValue,ColumnVariableParentCodeValue
GeographyCode,,,Geography Code
DC1117EW0001,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_TFPKB9yy, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0002,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_TFPKB9yy, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0003,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_TFPKB9yy, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0004,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_000, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0005,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_000, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0006,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_000, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0007,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_001, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0008,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_001, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0009,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_001, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0010,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_002, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0011,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_002, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0012,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_002, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0013,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_003, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0014,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_003, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0015,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_003, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0016,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_004, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0017,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_004, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0018,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_004, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0019,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_005, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0020,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_005, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0021,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_005, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0022,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_006, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0023,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_006, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0024,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_006, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0025,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_007, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0026,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_007, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0027,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_007, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0028,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_008, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0029,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_008, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0030,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_008, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0031,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_009, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0032,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_009, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0033,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_009, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0034,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_010, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0035,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_010, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0036,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_010, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0037,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_011, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0038,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_011, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0039,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_011, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0040,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_012, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0041,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_012, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0042,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_012, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
