GeographyCode,DC1117EW0251,DC1117EW0252,DC1117EW0253,DC1117EW0254,DC1117EW0255,DC1117EW0256,DC1117EW0257,DC1117EW0258,DC1117EW0259,DC1117EW0260,DC1117EW0261
E02000001,15,16,38,17,21,24,11,13,117,45,72
E02000002,12,27,47,12,35,30,17,13,245,85,160
E02000003,15,34,27,14,13,26,8,18,200,50,150
E02000004,8,15,40,13,27,35,12,23,184,47,137
E02000005,6,15,31,14,17,25,13,12,123,37,86
E02000007,11,23,52,14,38,33,10,23,221,55,166
E02000008,9,28,45,18,27,42,13,29,218,69,149
E02000009,4,15,19,4,15,20,6,14,120,43,77
E02000010,13,10,29,6,23,19,9,10,131,40,91
E02000011,4,18,28,16,12,20,6,14,128,42,86
E02000012,15,25,30,9,21,35,16,19,197,62,135
E02000013,12,19,33,13,20,22,10,12,126,35,91
E02000014,11,14,30,16,14,22,8,14,171,40,131
E02000015,11,7,23,10,13,22,5,17,107,20,87
E02000016,3,1,0,0,0,1,1,0,19,7,12
E02000017,13,10,21,13,8,21,9,12,70,23,47
E02000018,8,12,28,14,14,17,2,15,131,30,101
E02000019,10,16,31,14,17,25,11,14,98,29,69
E02000020,11,28,29,7,22,29,13,16,170,55,115
E02000021,10,25,30,11,19,21,12,9,110,32,78
E02000022,4,5,12,3,9,6,2,4,39,14,25
E02000023,2,10,11,4,7,10,5,5,58,24,34
E02000024,18,52,43,11,32,22,7,15,335,109,226
E02000025,12,27,34,16,18,35,18,17,175,55,120
E02000026,5,16,18,12,6,22,10,12,134,50,84
E02000027,8,28,28,12,16,28,15,13,160,53,107
E02000028,13,12,19,4,15,28,9,19,138,42,96
E02000029,10,14,31,15,16,25,10,15,138,45,93
E02000030,10,32,40,17,23,45,13,32,255,92,163
E02000031,16,23,48,19,29,44,13,31,261,73,188
E02000032,17,17,36,17,19,32,14,18,141,49,92
E02000033,17,25,25,12,13,30,12,18,182,59,123
E02000034,15,20,18,6,12,34,15,19,196,57,139
E02000035,14,29,37,8,29,39,12,27,238,84,154
E02000036,24,14,35,13,22,45,11,34,208,68,140
E02000037,22,13,35,10,25,35,14,21,227,86,141
E02000038,12,23,24,8,16,37,15,22,225,68,157
E02000039,9,12,17,11,6,24,9,15,131,48,83
E02000040,13,16,31,9,22,38,18,20,188,70,118
E02000041,18,23,31,14,17,35,13,22,200,72,128
E02000042,21,29,37,16,21,29,9,20,284,86,198
E02000043,17,21,37,16,21,29,11,18,149,60,89
E02000044,8,12,19,8,11,15,9,6,92,30,62
E02000045,7,14,25,9,16,20,9,11,97,35,62
E02000046,10,15,17,6,11,18,6,12,149,42,107
E02000047,14,23,27,9,18,21,7,14,190,47,143
E02000048,21,24,34,19,15,60,22,38,173,66,107
E02000049,5,7,6,2,4,5,2,3,55,16,39
E02000050,14,25,44,17,27,22,9,13,131,44,87
E02000051,18,28,55,27,28,42,12,30,267,90,177
E02000052,14,20,26,14,12,29,11,18,160,50,110
E02000053,8,14,18,10,8,12,5,7,74,28,46
E02000054,14,14,16,7,9,15,8,7,94,32,62
E02000055,24,27,42,17,25,35,13,22,317,102,215
E02000056,16,20,33,7,26,35,15,20,366,122,244
E02000057,11,14,21,9,12,23,11,12,139,56,83
E02000058,24,14,42,12,30,33,12,21,291,89,202
E02000059,15,23,23,12,11,21,6,15,123,41,82
E02000060,14,28,53,19,34,44,20,24,379,122,257
E02000061,33,19,38,18,20,36,11,25,261,75,186
E02000062,7,12,14,5,9,18,5,13,80,29,51
E02000063,5,17,17,8,9,24,13,11,145,44,101
E02000064,12,14,22,8,14,16,7,9,127,37,90
E02000065,3,7,7,3,4,6,1,5,20,3,17
E02000066,8,18,26,13,13,26,16,10,97,26,71
E02000067,9,14,25,6,19,20,4,16,132,35,97
E02000068,6,17,16,8,8,23,5,18,100,31,69
E02000069,11,26,35,11,24,28,10,18,129,43,86
E02000070,15,26,35,16,19,43,18,25,185,65,120
E02000071,16,15,21,8,13,24,10,14,120,30,90
E02000072,8,24,28,9,19,35,14,21,91,44,47
E02000073,16,25,47,22,25,47,18,29,224,73,151
E02000074,18,26,29,11,18,30,10,20,203,53,150
E02000075,23,24,43,21,22,51,21,30,197,69,128
E02000077,17,26,35,10,25,24,8,16,141,48,93
E02000078,10,14,39,13,26,30,15,15,114,43,71
E02000079,15,33,45,16,29,42,18,24,295,89,206
E02000080,21,32,48,16,32,49,15,34,188,69,119
E02000081,29,29,44,15,29,38,11,27,247,86,161
E02000082,20,29,34,17,17,46,16,30,168,54,114
E02000083,10,28,38,20,18,43,13,30,198,61,137
E02000084,34,33,57,25,32,48,23,25,238,95,143
E02000085,14,27,33,18,15,34,13,21,140,54,86
E02000086,18,25,36,15,21,23,8,15,101,40,61
E02000087,27,33,46,20,26,41,14,27,223,76,147
E02000088,16,27,38,14,24,25,11,14,162,59,103
E02000089,26,26,49,13,36,46,22,24,242,64,178
E02000090,25,34,72,24,48,58,16,42,425,111,314
E02000091,34,45,74,23,51,60,15,45,439,123,316
E02000092,11,25,37,18,19,33,17,16,129,39,90
E02000093,13,23,28,8,20,33,15,18,158,49,109
E02000094,10,12,14,7,7,18,6,12,120,28,92
E02000095,21,30,38,13,25,40,12,28,223,93,130
E02000096,17,14,34,13,21,37,16,21,172,56,116
E02000097,10,20,33,13,20,19,6,13,127,41,86
