ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC1117EW0001,Count,Person,"All categories: Age, All categories: Sex"
DC1117EW0002,Count,Person,"All categories: Age, Males"
DC1117EW0003,Count,Person,"All categories: Age, Females"
DC1117EW0004,Count,Person,"Age under 1, All categories: Sex"
DC1117EW0005,Count,Person,"Age under 1, Males"
DC1117EW0006,Count,Person,"Age under 1, Females"
DC1117EW0007,Count,Person,"Age 1, All categories: Sex"
DC1117EW0008,Count,Person,"Age 1, Males"
DC1117EW0009,Count,Person,"Age 1, Females"
DC1117EW0010,Count,Person,"Age 2, All categories: Sex"
DC1117EW0011,Count,Person,"Age 2, Males"
DC1117EW0012,Count,Person,"Age 2, Females"
DC1117EW0013,Count,Person,"Age 3, All categories: Sex"
DC1117EW0014,Count,Person,"Age 3, Males"
DC1117EW0015,Count,Person,"Age 3, Females"
DC1117EW0016,Count,Person,"Age 4, All categories: Sex"
DC1117EW0017,Count,Person,"Age 4, Males"
DC1117EW0018,Count,Person,"Age 4, Females"
DC1117EW0019,Count,Person,"Age 5, All categories: Sex"
DC1117EW0020,Count,Person,"Age 5, Males"
DC1117EW0021,Count,Person,"Age 5, Females"
DC1117EW0022,Count,Person,"Age 6, All categories: Sex"
DC1117EW0023,Count,Person,"Age 6, Males"
DC1117EW0024,Count,Person,"Age 6, Females"
DC1117EW0025,Count,Person,"Age 7, All categories: Sex"
DC1117EW0026,Count,Person,"Age 7, Males"
DC1117EW0027,Count,Person,"Age 7, Females"
DC1117EW0028,Count,Person,"Age 8, All categories: Sex"
DC1117EW0029,Count,Person,"Age 8, Males"
DC1117EW0030,Count,Person,"Age 8, Females"
DC1117EW0031,Count,Person,"Age 9, All categories: Sex"
DC1117EW0032,Count,Person,"Age 9, Males"
DC1117EW0033,Count,Person,"Age 9, Females"
DC1117EW0034,Count,Person,"Age 10, All categories: Sex"
DC1117EW0035,Count,Person,"Age 10, Males"
DC1117EW0036,Count,Person,"Age 10, Females"
DC1117EW0037,Count,Person,"Age 11, All categories: Sex"
DC1117EW0038,Count,Person,"Age 11, Males"
DC1117EW0039,Count,Person,"Age 11, Females"
DC1117EW0040,Count,Person,"Age 12, All categories: Sex"
DC1117EW0041,Count,Person,"Age 12, Males"
DC1117EW0042,Count,Person,"Age 12, Females"
DC1117EW0043,Count,Person,"Age 13, All categories: Sex"
DC1117EW0044,Count,Person,"Age 13, Males"
DC1117EW0045,Count,Person,"Age 13, Females"
DC1117EW0046,Count,Person,"Age 14, All categories: Sex"
DC1117EW0047,Count,Person,"Age 14, Males"
DC1117EW0048,Count,Person,"Age 14, Females"
DC1117EW0049,Count,Person,"Age 15, All categories: Sex"
DC1117EW0050,Count,Person,"Age 15, Males"
DC1117EW0051,Count,Person,"Age 15, Females"
DC1117EW0052,Count,Person,"Age 16, All categories: Sex"
DC1117EW0053,Count,Person,"Age 16, Males"
DC1117EW0054,Count,Person,"Age 16, Females"
DC1117EW0055,Count,Person,"Age 17, All categories: Sex"
DC1117EW0056,Count,Person,"Age 17, Males"
DC1117EW0057,Count,Person,"Age 17, Females"
DC1117EW0058,Count,Person,"Age 18, All categories: Sex"
DC1117EW0059,Count,Person,"Age 18, Males"
DC1117EW0060,Count,Person,"Age 18, Females"
DC1117EW0061,Count,Person,"Age 19, All categories: Sex"
DC1117EW0062,Count,Person,"Age 19, Males"
DC1117EW0063,Count,Person,"Age 19, Females"
DC1117EW0064,Count,Person,"Age 20, All categories: Sex"
DC1117EW0065,Count,Person,"Age 20, Males"
DC1117EW0066,Count,Person,"Age 20, Females"
DC1117EW0067,Count,Person,"Age 21, All categories: Sex"
DC1117EW0068,Count,Person,"Age 21, Males"
DC1117EW0069,Count,Person,"Age 21, Females"
DC1117EW0070,Count,Person,"Age 22, All categories: Sex"
DC1117EW0071,Count,Person,"Age 22, Males"
DC1117EW0072,Count,Person,"Age 22, Females"
DC1117EW0073,Count,Person,"Age 23, All categories: Sex"
DC1117EW0074,Count,Person,"Age 23, Males"
DC1117EW0075,Count,Person,"Age 23, Females"
DC1117EW0076,Count,Person,"Age 24, All categories: Sex"
DC1117EW0077,Count,Person,"Age 24, Males"
DC1117EW0078,Count,Person,"Age 24, Females"
DC1117EW0079,Count,Person,"Age 25, All categories: Sex"
DC1117EW0080,Count,Person,"Age 25, Males"
DC1117EW0081,Count,Person,"Age 25, Females"
DC1117EW0082,Count,Person,"Age 26, All categories: Sex"
DC1117EW0083,Count,Person,"Age 26, Males"
DC1117EW0084,Count,Person,"Age 26, Females"
DC1117EW0085,Count,Person,"Age 27, All categories: Sex"
DC1117EW0086,Count,Person,"Age 27, Males"
DC1117EW0087,Count,Person,"Age 27, Females"
DC1117EW0088,Count,Person,"Age 28, All categories: Sex"
DC1117EW0089,Count,Person,"Age 28, Males"
DC1117EW0090,Count,Person,"Age 28, Females"
DC1117EW0091,Count,Person,"Age 29, All categories: Sex"
DC1117EW0092,Count,Person,"Age 29, Males"
DC1117EW0093,Count,Person,"Age 29, Females"
DC1117EW0094,Count,Person,"Age 30, All categories: Sex"
DC1117EW0095,Count,Person,"Age 30, Males"
DC1117EW0096,Count,Person,"Age 30, Females"
DC1117EW0097,Count,Person,"Age 31, All categories: Sex"
DC1117EW0098,Count,Person,"Age 31, Males"
DC1117EW0099,Count,Person,"Age 31, Females"
DC1117EW0100,Count,Person,"Age 32, All categories: Sex"
DC1117EW0101,Count,Person,"Age 32, Males"
DC1117EW0102,Count,Person,"Age 32, Females"
DC1117EW0103,Count,Person,"Age 33, All categories: Sex"
DC1117EW0104,Count,Person,"Age 33, Males"
DC1117EW0105,Count,Person,"Age 33, Females"
DC1117EW0106,Count,Person,"Age 34, All categories: Sex"
DC1117EW0107,Count,Person,"Age 34, Males"
DC1117EW0108,Count,Person,"Age 34, Females"
DC1117EW0109,Count,Person,"Age 35, All categories: Sex"
DC1117EW0110,Count,Person,"Age 35, Males"
DC1117EW0111,Count,Person,"Age 35, Females"
DC1117EW0112,Count,Person,"Age 36, All categories: Sex"
DC1117EW0113,Count,Person,"Age 36, Males"
DC1117EW0114,Count,Person,"Age 36, Females"
DC1117EW0115,Count,Person,"Age 37, All categories: Sex"
DC1117EW0116,Count,Person,"Age 37, Males"
DC1117EW0117,Count,Person,"Age 37, Females"
DC1117EW0118,Count,Person,"Age 38, All categories: Sex"
DC1117EW0119,Count,Person,"Age 38, Males"
DC1117EW0120,Count,Person,"Age 38, Females"
DC1117EW0121,Count,Person,"Age 39, All categories: Sex"
DC1117EW0122,Count,Person,"Age 39, Males"
DC1117EW0123,Count,Person,"Age 39, Females"
DC1117EW0124,Count,Person,"Age 40, All categories: Sex"
DC1117EW0125,Count,Person,"Age 40, Males"
DC1117EW0126,Count,Person,"Age 40, Females"
DC1117EW0127,Count,Person,"Age 41, All categories: Sex"
DC1117EW0128,Count,Person,"Age 41, Males"
DC1117EW0129,Count,Person,"Age 41, Females"
DC1117EW0130,Count,Person,"Age 42, All categories: Sex"
DC1117EW0131,Count,Person,"Age 42, Males"
DC1117EW0132,Count,Person,"Age 42, Females"
DC1117EW0133,Count,Person,"Age 43, All categories: Sex"
DC1117EW0134,Count,Person,"Age 43, Males"
DC1117EW0135,Count,Person,"Age 43, Females"
DC1117EW0136,Count,Person,"Age 44, All categories: Sex"
DC1117EW0137,Count,Person,"Age 44, Males"
DC1117EW0138,Count,Person,"Age 44, Females"
DC1117EW0139,Count,Person,"Age 45, All categories: Sex"
DC1117EW0140,Count,Person,"Age 45, Males"
DC1117EW0141,Count,Person,"Age 45, Females"
DC1117EW0142,Count,Person,"Age 46, All categories: Sex"
DC1117EW0143,Count,Person,"Age 46, Males"
DC1117EW0144,Count,Person,"Age 46, Females"
