ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC1117EW0001,Count,Person,"Pob categori: Oedran, Pob categori: Rhyw"
DC1117EW0002,Count,Person,"Pob categori: Oedran, Gwrywod"
DC1117EW0003,Count,Person,"Pob categori: Oedran, Benywod"
DC1117EW0004,Count,Person,"O dan 1 oed, Pob categori: Rhyw"
DC1117EW0005,Count,Person,"O dan 1 oed, Gwrywod"
DC1117EW0006,Count,Person,"O dan 1 oed, Benywod"
DC1117EW0007,Count,Person,"1 oed, Pob categori: Rhyw"
DC1117EW0008,Count,Person,"1 oed, Gwrywod"
DC1117EW0009,Count,Person,"1 oed, Benywod"
DC1117EW0010,Count,Person,"2 oed, Pob categori: Rhyw"
DC1117EW0011,Count,Person,"2 oed, Gwrywod"
DC1117EW0012,Count,Person,"2 oed, Benywod"
DC1117EW0013,Count,Person,"3 oed, Pob categori: Rhyw"
DC1117EW0014,Count,Person,"3 oed, Gwrywod"
DC1117EW0015,Count,Person,"3 oed, Benywod"
DC1117EW0016,Count,Person,"4 oed, Pob categori: Rhyw"
DC1117EW0017,Count,Person,"4 oed, Gwrywod"
DC1117EW0018,Count,Person,"4 oed, Benywod"
DC1117EW0019,Count,Person,"5 oed, Pob categori: Rhyw"
DC1117EW0020,Count,Person,"5 oed, Gwrywod"
DC1117EW0021,Count,Person,"5 oed, Benywod"
DC1117EW0022,Count,Person,"6 oed, Pob categori: Rhyw"
DC1117EW0023,Count,Person,"6 oed, Gwrywod"
DC1117EW0024,Count,Person,"6 oed, Benywod"
DC1117EW0025,Count,Person,"7 oed, Pob categori: Rhyw"
DC1117EW0026,Count,Person,"7 oed, Gwrywod"
DC1117EW0027,Count,Person,"7 oed, Benywod"
DC1117EW0028,Count,Person,"8 oed, Pob categori: Rhyw"
DC1117EW0029,Count,Person,"8 oed, Gwrywod"
DC1117EW0030,Count,Person,"8 oed, Benywod"
DC1117EW0031,Count,Person,"9 oed, Pob categori: Rhyw"
DC1117EW0032,Count,Person,"9 oed, Gwrywod"
DC1117EW0033,Count,Person,"9 oed, Benywod"
DC1117EW0034,Count,Person,"10 oed, Pob categori: Rhyw"
DC1117EW0035,Count,Person,"10 oed, Gwrywod"
DC1117EW0036,Count,Person,"10 oed, Benywod"
DC1117EW0037,Count,Person,"11 oed, Pob categori: Rhyw"
DC1117EW0038,Count,Person,"11 oed, Gwrywod"
DC1117EW0039,Count,Person,"11 oed, Benywod"
DC1117EW0040,Count,Person,"12 oed, Pob categori: Rhyw"
DC1117EW0041,Count,Person,"12 oed, Gwrywod"
DC1117EW0042,Count,Person,"12 oed, Benywod"
DC1117EW0043,Count,Person,"13 oed, Pob categori: Rhyw"
DC1117EW0044,Count,Person,"13 oed, Gwrywod"
DC1117EW0045,Count,Person,"13 oed, Benywod"
DC1117EW0046,Count,Person,"14 oed, Pob categori: Rhyw"
DC1117EW0047,Count,Person,"14 oed, Gwrywod"
DC1117EW0048,Count,Person,"14 oed, Benywod"
DC1117EW0049,Count,Person,"15 oed, Pob categori: Rhyw"
DC1117EW0050,Count,Person,"15 oed, Gwrywod"
DC1117EW0051,Count,Person,"15 oed, Benywod"
DC1117EW0052,Count,Person,"16 oed, Pob categori: Rhyw"
DC1117EW0053,Count,Person,"16 oed, Gwrywod"
DC1117EW0054,Count,Person,"16 oed, Benywod"
DC1117EW0055,Count,Person,"17 oed, Pob categori: Rhyw"
DC1117EW0056,Count,Person,"17 oed, Gwrywod"
DC1117EW0057,Count,Person,"17 oed, Benywod"
DC1117EW0058,Count,Person,"18 oed, Pob categori: Rhyw"
DC1117EW0059,Count,Person,"18 oed, Gwrywod"
DC1117EW0060,Count,Person,"18 oed, Benywod"
DC1117EW0061,Count,Person,"19 oed, Pob categori: Rhyw"
DC1117EW0062,Count,Person,"19 oed, Gwrywod"
DC1117EW0063,Count,Person,"19 oed, Benywod"
DC1117EW0064,Count,Person,"20 oed, Pob categori: Rhyw"
DC1117EW0065,Count,Person,"20 oed, Gwrywod"
DC1117EW0066,Count,Person,"20 oed, Benywod"
DC1117EW0067,Count,Person,"21 oed, Pob categori: Rhyw"
DC1117EW0068,Count,Person,"21 oed, Gwrywod"
DC1117EW0069,Count,Person,"21 oed, Benywod"
DC1117EW0070,Count,Person,"22 oed, Pob categori: Rhyw"
DC1117EW0071,Count,Person,"22 oed, Gwrywod"
DC1117EW0072,Count,Person,"22 oed, Benywod"
DC1117EW0073,Count,Person,"23 oed, Pob categori: Rhyw"
DC1117EW0074,Count,Person,"23 oed, Gwrywod"
DC1117EW0075,Count,Person,"23 oed, Benywod"
DC1117EW0076,Count,Person,"24 oed, Pob categori: Rhyw"
DC1117EW0077,Count,Person,"24 oed, Gwrywod"
DC1117EW0078,Count,Person,"24 oed, Benywod"
DC1117EW0079,Count,Person,"25 oed, Pob categori: Rhyw"
DC1117EW0080,Count,Person,"25 oed, Gwrywod"
DC1117EW0081,Count,Person,"25 oed, Benywod"
DC1117EW0082,Count,Person,"26 oed, Pob categori: Rhyw"
DC1117EW0083,Count,Person,"26 oed, Gwrywod"
DC1117EW0084,Count,Person,"26 oed, Benywod"
DC1117EW0085,Count,Person,"27 oed, Pob categori: Rhyw"
DC1117EW0086,Count,Person,"27 oed, Gwrywod"
DC1117EW0087,Count,Person,"27 oed, Benywod"
DC1117EW0088,Count,Person,"28 oed, Pob categori: Rhyw"
DC1117EW0089,Count,Person,"28 oed, Gwrywod"
DC1117EW0090,Count,Person,"28 oed, Benywod"
DC1117EW0091,Count,Person,"29 oed, Pob categori: Rhyw"
DC1117EW0092,Count,Person,"29 oed, Gwrywod"
DC1117EW0093,Count,Person,"29 oed, Benywod"
DC1117EW0094,Count,Person,"30 oed, Pob categori: Rhyw"
DC1117EW0095,Count,Person,"30 oed, Gwrywod"
DC1117EW0096,Count,Person,"30 oed, Benywod"
DC1117EW0097,Count,Person,"31 oed, Pob categori: Rhyw"
DC1117EW0098,Count,Person,"31 oed, Gwrywod"
DC1117EW0099,Count,Person,"31 oed, Benywod"
DC1117EW0100,Count,Person,"32 oed, Pob categori: Rhyw"
DC1117EW0101,Count,Person,"32 oed, Gwrywod"
DC1117EW0102,Count,Person,"32 oed, Benywod"
DC1117EW0103,Count,Person,"33 oed, Pob categori: Rhyw"
DC1117EW0104,Count,Person,"33 oed, Gwrywod"
DC1117EW0105,Count,Person,"33 oed, Benywod"
DC1117EW0106,Count,Person,"34 oed, Pob categori: Rhyw"
DC1117EW0107,Count,Person,"34 oed, Gwrywod"
DC1117EW0108,Count,Person,"34 oed, Benywod"
DC1117EW0109,Count,Person,"35 oed, Pob categori: Rhyw"
DC1117EW0110,Count,Person,"35 oed, Gwrywod"
DC1117EW0111,Count,Person,"35 oed, Benywod"
DC1117EW0112,Count,Person,"36 oed, Pob categori: Rhyw"
DC1117EW0113,Count,Person,"36 oed, Gwrywod"
DC1117EW0114,Count,Person,"36 oed, Benywod"
DC1117EW0115,Count,Person,"37 oed, Pob categori: Rhyw"
DC1117EW0116,Count,Person,"37 oed, Gwrywod"
DC1117EW0117,Count,Person,"37 oed, Benywod"
DC1117EW0118,Count,Person,"38 oed, Pob categori: Rhyw"
DC1117EW0119,Count,Person,"38 oed, Gwrywod"
DC1117EW0120,Count,Person,"38 oed, Benywod"
DC1117EW0121,Count,Person,"39 oed, Pob categori: Rhyw"
DC1117EW0122,Count,Person,"39 oed, Gwrywod"
DC1117EW0123,Count,Person,"39 oed, Benywod"
DC1117EW0124,Count,Person,"40 oed, Pob categori: Rhyw"
DC1117EW0125,Count,Person,"40 oed, Gwrywod"
